filename,sr,duration_sec,nama,target,0_Absolute energy,0_Average power,0_ECDF Percentile Count_0,0_ECDF Percentile Count_1,0_ECDF Percentile_0,0_ECDF Percentile_1,0_ECDF_0,0_ECDF_1,0_ECDF_2,0_ECDF_3,0_ECDF_4,0_ECDF_5,0_ECDF_6,0_ECDF_7,0_ECDF_8,0_ECDF_9,0_Entropy,0_Histogram mode,0_Interquartile range,0_Kurtosis,0_Max,0_Mean,0_Mean absolute deviation,0_Median,0_Median absolute deviation,0_Min,0_Peak to peak distance,0_Root mean square,0_Skewness,0_Standard deviation,0_Variance
31-10-2025 10.25(2).mp3,48000,1.704,rizal,tutup,34.79779175461869,20.421488968489165,16358.0,65433.0,-0.004952485207468271,0.004548131488263607,1.2226134585289515e-05,2.445226917057903e-05,3.6678403755868545e-05,4.890453834115806e-05,6.113067292644758e-05,7.335680751173709e-05,8.55829420970266e-05,9.780907668231612e-05,0.00011003521126760564,0.00012226134585289515,0.9911696007609726,-0.0037337549030780695,0.007108925317879766,23.971909284973368,0.20563504099845886,-1.4334982798842165e-05,0.009141038176221361,-2.2223035633928134e-09,0.003550601308234036,-0.11647079885005951,0.32210583984851837,0.020626257180178034,2.408989259552553,0.020626252198863326,0.0004254422797711142
31-10-2025 10.25(3).mp3,48000,1.536,rizal,tutup,121.90673056094275,79.3674375320473,14745.0,58982.0,-0.010217305272817612,0.01014968566596508,1.3563368055555555e-05,2.712673611111111e-05,4.0690104166666664e-05,5.425347222222222e-05,6.781684027777778e-05,8.138020833333333e-05,9.494357638888889e-05,0.00010850694444444444,0.0001220703125,0.00013563368055555556,0.9901029889348104,-0.030458420515060425,0.015134815475903451,16.26419223203082,0.3811524510383606,-2.207293321946006e-05,0.019356003895460893,0.0,0.007566521177068353,-0.2520950436592102,0.6332474946975708,0.04066283137027609,1.1791341658955807,0.040662825379369896,0.0016534653678331286
31-10-2025 10.25(4).mp3,48000,1.512,rizal,tutup,29.2704784058709,19.359048756208104,14515.0,58060.0,-0.006355990655720234,0.005931513383984566,1.3778659611992945e-05,2.755731922398589e-05,4.1335978835978834e-05,5.511463844797178e-05,6.889329805996472e-05,8.267195767195767e-05,9.645061728395061e-05,0.00011022927689594356,0.0001240079365079365,0.00013778659611992945,0.989930040165109,-0.004038582742214199,0.009107799851335585,14.606729906656259,0.16845694184303284,-1.660387985860288e-05,0.010257632556512354,-3.7043019762705853e-09,0.004549300763756037,-0.09692078828811646,0.2653777301311493,0.02008252869124516,1.5443001354669883,0.020082521827346753,0.00040330768294585877
31-10-2025 10.25(5).mp3,48000,1.68,rizal,tutup,41.60312300391107,24.764070786935992,16128.0,64512.0,-0.010197039693593979,0.009299730882048607,1.240079365079365e-05,2.48015873015873e-05,3.7202380952380956e-05,4.96031746031746e-05,6.200396825396825e-05,7.440476190476191e-05,8.680555555555556e-05,9.92063492063492e-05,0.00011160714285714285,0.0001240079365079365,0.9910124256408973,0.00957533270120621,0.013786157709546387,8.88630354250771,0.17813459038734436,-2.133476728360873e-06,0.013359082334639031,0.0,0.006872629746794701,-0.12833678722381592,0.3064713776111603,0.02271369066444482,0.9275806409685399,0.022713690564247036,0.0005159117390483648
31-10-2025 10.25(6).mp3,48000,1.488,rizal,tutup,27.6987197573548,18.61499164629084,14284.0,57139.0,-0.006350384093821049,0.0056734150275588036,1.400089605734767e-05,2.800179211469534e-05,4.2002688172043014e-05,5.600358422939068e-05,7.000448028673835e-05,8.400537634408603e-05,9.80062724014337e-05,0.00011200716845878136,0.00012600806451612903,0.0001400089605734767,0.9897425527419546,-0.005942729115486149,0.008904059417545795,12.0689562490228,0.15683133900165558,-4.560919997246423e-06,0.010353464865584165,-2.4340310211812266e-08,0.004449545638635755,-0.09359030425548553,0.2504216432571411,0.019692813314616243,1.4130472651018422,0.019692812786454243,0.0003878068754423357
31-10-2025 10.25(7).mp3,48000,1.512,rizal,tutup,57.12446026104032,37.78124826083273,14515.0,58060.0,-0.007095828652381897,0.006027836352586746,1.3778659611992945e-05,2.755731922398589e-05,4.1335978835978834e-05,5.511463844797178e-05,6.889329805996472e-05,8.267195767195767e-05,9.645061728395061e-05,0.00011022927689594356,0.0001240079365079365,0.00013778659611992945,0.9899368666887958,0.014436767250299451,0.009434051578864455,10.392776345461648,0.193982794880867,-3.400409372571434e-06,0.013854823173705504,-8.283903753181221e-06,0.004709849111804942,-0.13246452808380127,0.3264473229646683,0.02805527567955254,1.459106928442517,0.028055275473481068,0.0007870984818929084
31-10-2025 10.25(8).mp3,48000,1.488,rizal,tutup,62.51400282462918,42.01268688772805,14284.0,57139.0,-0.011240816675126553,0.010539950802922249,1.400089605734767e-05,2.800179211469534e-05,4.2002688172043014e-05,5.600358422939068e-05,7.000448028673835e-05,8.400537634408603e-05,9.80062724014337e-05,0.00011200716845878136,0.00012600806451612903,0.0001400089605734767,0.9897633924205255,0.0021253563463687897,0.016466657863929868,9.99710229019814,0.1977521777153015,-3.174747685428454e-05,0.016427150633725032,-2.0357519133540336e-05,0.00822373479604721,-0.15793295204639435,0.35568512976169586,0.02958465912726344,0.9741562362294717,0.02958464209305371,0.0008752510477740852
31-10-2025 10.25(9).mp3,48000,1.608,rizal,tutup,100.6123641467295,62.57068886986792,0.0,0.0,0.0,0.0,1.2956053067993367e-05,2.5912106135986734e-05,3.88681592039801e-05,5.182421227197347e-05,6.478026533996684e-05,7.77363184079602e-05,9.069237147595356e-05,0.00010364842454394693,0.0001166044776119403,0.00012956053067993367,0.9860244319102011,-0.006019001454114922,0.010677020414732397,8.689251708758665,0.28698378801345825,-2.9600739793743434e-05,0.01843247115777315,-3.501791798043996e-05,0.005350148770958185,-0.16378973424434662,0.45077352225780487,0.03610455828813449,0.9054720568995287,0.03610454615387797,0.0013035382529775043
31-10-2025 10.25.mp3,48000,1.704,rizal,tutup,37.34613877741279,21.917016069198493,16358.0,65433.0,-0.005267830099910498,0.0047475420869886875,1.2226134585289515e-05,2.445226917057903e-05,3.6678403755868545e-05,4.890453834115806e-05,6.113067292644758e-05,7.335680751173709e-05,8.55829420970266e-05,9.780907668231612e-05,0.00011003521126760564,0.00012226134585289515,0.9911561157827877,0.006943129003047943,0.007300443830899894,19.330558253811574,0.20303960144519806,-5.165229252457281e-07,0.009802748699205202,0.0,0.003643290256150067,-0.15349943935871124,0.3565390408039093,0.021368175376796878,2.085702769869403,0.02136817537055405,0.0004565989186667526
31-10-2025 10.26(10).mp3,48000,1.944,rizal,tutup,237.4501047875873,122.14642464237004,18662.0,74649.0,-0.006853495258837938,0.006793944165110588,1.071673525377229e-05,2.143347050754458e-05,3.2150205761316875e-05,4.286694101508916e-05,5.358367626886145e-05,6.430041152263375e-05,7.501714677640604e-05,8.573388203017832e-05,9.645061728395061e-05,0.0001071673525377229,0.99233461833019,-0.01859566867351531,0.010008020792156458,27.82641200769142,0.4881629943847656,-3.112524977079093e-05,0.01885660915035373,0.0,0.005001044366508722,-0.433216392993927,0.9213793873786926,0.05044491955577946,0.1829276370143571,0.050444909953412435,0.0025446889402078892
