t,NO2_mean
2022-05-15,4.4434539617333336e-05
2022-05-16,3.322840864081632e-05
2022-05-17,4.344656943478261e-05
2022-05-18,1.072181e-05
2022-05-19,
2022-05-20,
2022-05-21,2.682630989878049e-05
2022-05-22,3.0219666417647062e-05
2022-05-23,3.116555974e-05
2022-05-24,1.4373259270588236e-05
2022-05-25,3.2336666611111116e-05
2022-05-26,5.47153492e-05
2022-05-27,
2022-05-28,4.4808727499999995e-05
2022-05-29,2.4286005399999998e-05
2022-05-30,3.352302425862069e-05
2022-05-31,3.8786656431428567e-05
2022-06-01,6.493647489473685e-05
2022-06-02,6.514475620625e-05
2022-06-03,5.648533373170732e-05
2022-06-04,
2022-06-05,5.0830856321428574e-05
2022-06-06,4.5867207426952384e-05
2022-06-07,3.8867412444086024e-05
2022-06-08,1.3660580042857143e-05
2022-06-09,
2022-06-10,3.265603406e-05
2022-06-11,4.492078272413793e-05
2022-06-12,3.0276130254054053e-05
2022-06-13,
2022-06-14,
2022-06-15,
2022-06-16,2.8341342876e-05
2022-06-17,6.06056375e-05
2022-06-18,8.747062362962963e-05
2022-06-19,4.42277917e-05
2022-06-20,
2022-06-21,4.9437668625e-05
2022-06-22,4.141941447311828e-05
2022-06-23,3.127231444615385e-05
2022-06-24,5.8598730121621626e-05
2022-06-25,4.951524161111111e-05
2022-06-26,
2022-06-27,5.043880775862069e-05
2022-06-28,6.730249513396227e-05
2022-06-29,9.351491115625e-05
2022-06-30,7.505457446478873e-05
2022-07-01,3.419960340277778e-05
2022-07-02,3.094141265604395e-05
2022-07-03,3.647730177808219e-05
2022-07-04,1.702208628846154e-05
2022-07-05,7.925147922727272e-05
2022-07-06,
2022-07-07,4.3820232337837836e-05
2022-07-08,6.89621993292683e-05
2022-07-09,5.5601758655913975e-05
2022-07-10,4.0898595813541666e-05
2022-07-11,2.421334675e-05
2022-07-12,2.837309420338983e-05
2022-07-13,1.779275255333333e-05
2022-07-14,4.1069091e-05
2022-07-15,3.8486910185333336e-05
2022-07-16,5.598984977659575e-05
2022-07-17,
2022-07-18,4.8913829023809525e-05
2022-07-19,6.730864463e-05
2022-07-20,4.2748783219479166e-05
2022-07-21,5.8811527593749996e-05
2022-07-22,
2022-07-23,6.42118905e-05
2022-07-24,4.142949762121212e-05
2022-07-25,4.79245438125e-05
2022-07-26,6.927239873958333e-05
2022-07-27,4.015495017708333e-05
2022-07-28,3.980920494382023e-05
2022-07-29,3.677263281333334e-05
2022-07-30,5.332366551136364e-05
2022-07-31,6.791271510810811e-05
2022-08-01,4.635365047619048e-05
2022-08-02,3.2014057e-05
2022-08-03,3.697804984623656e-05
2022-08-04,7.232764451562501e-05
2022-08-05,8.417188047727272e-05
2022-08-06,4.951147228985507e-05
2022-08-07,3.840462566666667e-05
2022-08-08,5.54668285e-05
2022-08-09,4.0860202235416664e-05
2022-08-10,4.971432623888889e-05
2022-08-11,3.89189094875e-05
2022-08-12,1.5015021566666667e-05
2022-08-13,2.5021817529411765e-05
2022-08-14,2.329778375e-05
2022-08-15,2.786842040090909e-05
2022-08-16,6.054680735915493e-05
2022-08-17,4.6804712435897434e-05
2022-08-18,4.6673838493150684e-05
2022-08-19,4.082891257831325e-05
2022-08-20,4.558864851954023e-05
2022-08-21,3.203677953538462e-05
2022-08-22,4.892609347916666e-05
2022-08-23,4.4468173073333336e-05
2022-08-24,3.967098671875e-05
2022-08-25,3.7971230191489364e-05
2022-08-26,4.6298861886842105e-05
2022-08-27,8.449809267741936e-05
2022-08-28,6.574620045454545e-05
2022-08-29,4.694067886458334e-05
2022-08-30,6.543364697435897e-05
2022-08-31,3.2946562369565215e-05
2022-09-01,4.3253501702127665e-05
2022-09-02,4.3983186566666666e-05
2022-09-03,4.8407023525423735e-05
2022-09-04,4.1388600999999995e-05
2022-09-05,
2022-09-06,4.398251123142857e-05
2022-09-07,4.0281605650793646e-05
2022-09-08,2.4737008866666665e-05
2022-09-09,
2022-09-10,3.885997366666667e-05
2022-09-11,5.534578368965517e-05
2022-09-12,4.053044431176471e-05
2022-09-13,9.674874743023255e-05
2022-09-14,3.708050141489362e-05
2022-09-15,5.585545988157895e-05
2022-09-16,4.9311984982142855e-05
2022-09-17,4.813618190625e-05
2022-09-18,6.499170734285715e-05
2022-09-19,4.926719522988506e-05
2022-09-20,2.03464642e-05
2022-09-21,
2022-09-22,4.5210112694117644e-05
2022-09-23,3.514932839772728e-05
2022-09-24,5.315166033870968e-05
2022-09-25,3.4001876489583334e-05
2022-09-26,6.783366335616439e-05
2022-09-27,6.241629296875e-05
2022-09-28,6.0423881688172044e-05
2022-09-29,5.7401332860215046e-05
2022-09-30,
